Nombre|| UR|| Description|| Year Created|| Stars|| Number of commits|| Number of contracts|| Days since last commi|| Lines of code												
etherlab/solidity-remote-compiler||https://github.com/etherlab/solidity-remote-compiler||Simple json-rpc service that compile smart contract remotly||2016||0||6||2||878||2												
mblhaunted/solint||https://github.com/mblhaunted/solint||Linter for Solidity||2016||0||1||1||541||193												
prashantpawar/sol-unit||https://github.com/prashantpawar/sol-unit||Unit testing framework for Solidity.||2016||0||30||16||952||4257												
androlo/solidity-workshop||https://github.com/androlo/solidity-workshop||Educational material for Solidity. Complement to solidity.readthedocs.com||2016||452||30||2||123||216												
DigixGlobal/digixdao-contracts||https://github.com/DigixGlobal/digixdao-contracts||Solidity contracts for DigixDAO||2016||40||30||9||901||1444												
quorumwallet/contracts||https://github.com/quorumwallet/contracts||This repository contains the contracts used by Quorum. All sources are written in Solidity.||2016||4||5||2||975||211												
FrankHold/DApp_SyntheticTrader||https://github.com/FrankHold/DApp_SyntheticTrader||Ethereum DApp in Solidity to trade synthetic stuff||2016||0||30||1||935||572												
BrainArchitect/Ethereum-tutorial-contracts||https://github.com/BrainArchitect/Ethereum-tutorial-contracts||A place for handy Ethereum contracts that can help as a tutorial to new developers.||2016||3||20||3||665||140												
coderwithattitude/SolidityHelpers||https://github.com/coderwithattitude/SolidityHelpers||Solidity language library helpers.||2016||0||8||2||957||137												
paolobtc/soliditytest||https://github.com/paolobtc/soliditytest||None||2016||0||7||1||964||47												
UrsZeidler/licensemanager||https://github.com/UrsZeidler/licensemanager||Some smart contracts for the etherum blockchain to manage a licenseable items.  The license are strored transparent on the blockchain and can be reviewed.||2016||6||30||2||477||561												
davebryson/solidity_contract_dev||https://github.com/davebryson/solidity_contract_dev||Simple environment to develop and test Solidity (Ethereum) smart contracts ||2016||0||5||1||894||19												
D-Nice/solidity-helper-functions||https://github.com/D-Nice/solidity-helper-functions||A collection of solidity helper functions||2016||1||16||3||813||113												
validitylabs/RockPaperScissors||https://github.com/validitylabs/RockPaperScissors||A simple and naive implementation of the rock paper scissors game to teach Solidity||2016||1||4||1||965||114												
KuekenPartei/party-contracts||https://github.com/KuekenPartei/party-contracts||solidity contracts to build a party dao||2016||2||30||5||485||1467												
arik-so/truffle-solidity-signatures||https://github.com/arik-so/truffle-solidity-signatures||Signing messages in Truffle and verifying them in Solidity||2016||0||6||1||957||38												
androlo/sol-tester||https://github.com/androlo/sol-tester||Utilities for building	 linking and testing solidity contracts using go-ethereum and the simulated chain.||2016||15||9||12||925||574											
ethereum/solc-js||https://github.com/ethereum/solc-js||Javascript bindings for the Solidity compiler||2016||470||30||9||29||2634												
SeanAvery/solidity-||https://github.com/SeanAvery/solidity-||smart contracts||2016||0||15||9||767||502												
konstantinzolotarev/ether-oracle-sample||https://github.com/konstantinzolotarev/ether-oracle-sample||Ethereum solidity Oracle contract||2016||0||2||1||940||51												
Superdao-DAO/solidity-helpers-util||https://github.com/Superdao-DAO/solidity-helpers-util||Solidity language library helpers.||2016||0||3||2||936||170												
animist-io/wallowa||https://github.com/animist-io/wallowa||Solidity contracts for Animist with tests	 continuous integration and docs  ||2016||1||30||6||27||1101											
Arachnid/solidity-stringutils||https://github.com/Arachnid/solidity-stringutils||Basic string utilities for Solidity||2016||442||30||3||91||932												
jeffscottward/puddingsolcHMRTest||https://github.com/jeffscottward/puddingsolcHMRTest||Testing of Loaders for Solidity||2016||0||2||1||931||64												
BenUsername/MoneyPot||https://github.com/BenUsername/MoneyPot||Prototype of smart contract using ethereum. The contract collects contributions for instance within a group of friends to contribute towards a common birthday gift. Contributions are accepted until a specified target is reached. The contract allows for refund. Code is written in solidity and I used Truffle framework for adding a UI and package it all up as a DApp.||2016||1||4||1||930||48												
niksmac/sol_exp||https://github.com/niksmac/sol_exp||My Solidity Experiments||2016||0||4||1||903||379												
armel17/solidity_trial||https://github.com/armel17/solidity_trial||First repository to get used to GitHub and solidity programming language||2016||0||1||1||926||183												
ConsenSys/solidity-parser||https://github.com/ConsenSys/solidity-parser||Solidity Parser in Javascript||2016||113||30||1||108||420												
androlo/standard-contracts||https://github.com/androlo/standard-contracts||Storage repo for Solidity contracts	 tests	 and docs.||2016||75||30||16||111||2383										
uzyn/ethereum-webpack-example-dapp||https://github.com/uzyn/ethereum-webpack-example-dapp||Template for Ethereum (Solidity) smart contract decentralized app (dapp) and test suite with Webpack.||2016||103||25||1||827||74												
ConsenSys/live-libs||https://github.com/ConsenSys/live-libs||Providing reusable Solidity libraries that are live on the Ethereum blockchain.||2016||82||30||4||387||195												
kkoiwai/SolidityTradeMatcher||https://github.com/kkoiwai/SolidityTradeMatcher||An experimental code to implement Security Trade Matching over Ethereum (on Docker)||2016||0||27||1||863||76												
juanfranblanco/feedbase||https://github.com/juanfranblanco/feedbase||Feedbase https://github.com/nexusdev/feedbase modified for testing / sampling vscode-solidity||2016||2||3||30||916||2051												
rainbreak/solidity-btc-parser||https://github.com/rainbreak/solidity-btc-parser||Solidity library to parse raw Bitcoin transaction bytes||2016||21||30||2||548||558												
Naoya-Horiguchi/ethereum-solidity||https://github.com/Naoya-Horiguchi/ethereum-solidity||Sample code for smart contract on Ethereum platform||2016||0||3||3||908||97												
ethereum/remix-ide||https://github.com/ethereum/remix-ide||Browser-Only Solidity IDE and Runtime Environment||2016||1081||30||18||27||222												
AustP/autocomplete-solidity||https://github.com/AustP/autocomplete-solidity||Autocomplete+ provider for Solidity||2016||9||29||5||176||595												
oraclize/ethereum-studio-examples||https://github.com/oraclize/ethereum-studio-examples||Solidity examples for the Ethereum Studio c9-based IDE||2016||2||8||6||615||490												
KrakenOverlord/lottery||https://github.com/KrakenOverlord/lottery||A full-stack implementation of an Ethereum lottery ÃApp with a Web3 based front-end and Solidity contract.||2016||0||30||1||538||106												
zeltsi/Solidity||https://github.com/zeltsi/Solidity||None||2016||8||5||1||498||105												
lightrainstech/sceb||https://github.com/lightrainstech/sceb||SCEB: Smart Contract Templates for Everyday Banking||2016||4||5||1||887||14												
redsquirrel/solidity-getcode-at||https://github.com/redsquirrel/solidity-getcode-at||None||2016||0||5||2||897||25												
Latrasis/linter-solidity||https://github.com/Latrasis/linter-solidity||Atom Linter support for Solidity||2016||20||29||2||102||22												
redsquirrel/lepoint||https://github.com/redsquirrel/lepoint||Example app for my "Diving into Ethereum and Solidity" presentation||2016||2||8||3||884||81												
stevebakh/eris-solidity-roles-experiment||https://github.com/stevebakh/eris-solidity-roles-experiment||Testing the roles/permissions system of Eris||2016||1||2||1||767||44												
cosmo-project/cosmo||https://github.com/cosmo-project/cosmo||Cosmo - a simple IDE for building solidity contracts.||2016||10||30||1||848||7												
mhhf/sol-rlp||https://github.com/mhhf/sol-rlp||solidity rlp implementation||2016||0||4||1||785||136												
zbo14/JukeBox||https://github.com/zbo14/JukeBox||Solidity smart contract logic for artist content-sharing	 built on action-driven architecture.||2016||0||2||7||870||829											
boardroom-project/boardroom-contracts||https://github.com/boardroom-project/boardroom-contracts||A repo for all BoardRoom contracts.||2016||31||30||30||580||1738												
pelle/solidterms||https://github.com/pelle/solidterms||Adding human readable terms to Solidity contracts||2016||11||12||10||860||276												
karlfloersch/recursive-call-vulnerability-example||https://github.com/karlfloersch/recursive-call-vulnerability-example||A dapple project simulating a simple Solidity recursive call vulnerability||2016||4||6||3||836||69												
destenson/rng-sol||https://github.com/destenson/rng-sol||Solidity contract providing a (non-) random number generator service.||2016||1||7||1||863||116												
makevoid/simple_storage.sol||https://github.com/makevoid/simple_storage.sol||Example of how to embed an Ethereum Solidity Smart-Contract into an NPM module||2016||0||5||1||870||7												
abueesp/societic-smartcontracts||https://github.com/abueesp/societic-smartcontracts||A bin for Solidity smart contracts	 some tools and information||2016||2||30||8||348||2168											
raineorshine/solgraph||https://github.com/raineorshine/solgraph||Visualize Solidity control flow for smart contract security analysis.  :dollar: â‡† :dollar:||2016||522||30||15||78||146												
shayanb/Solidity-Logging-Library||https://github.com/shayanb/Solidity-Logging-Library||An expensive library to do loggings in smart contracts ||2016||3||6||2||852||38												
travisjthayer/solidity||https://github.com/travisjthayer/solidity||Sample smart contracts||2016||0||4||1||857||47												
Walkingmage/vote||https://github.com/Walkingmage/vote||Solidity voting contract||2016||0||14||1||152||99												
joeb000/solidity-scripts||https://github.com/joeb000/solidity-scripts||some basic solidity projects and shortcuts to getting up and running with smart contracts||2016||1||11||1||774||79												
b9lab/solidity-conversion||https://github.com/b9lab/solidity-conversion||Tests on conversions	 from Solidity||2016||1||6||2||253||33											
raineorshine/solidity-by-example||https://github.com/raineorshine/solidity-by-example||A collection of short yet fully-functional contracts that demonstrate Solidity language features.||2016||195||30||23||331||556												
b9lab/solidity_library||https://github.com/b9lab/solidity_library||Tests on Solidity libraries.||2016||1||1||2||847||32												
o0ragman0o/LibCLL||https://github.com/o0ragman0o/LibCLL||Solidity library for a Circular Linked List index||2016||34||30||1||129||229												
CoinOffering/smartcontract||https://github.com/CoinOffering/smartcontract||Base smart contract of CoinOffering||2016||17||11||1||797||295												
SilentCicero/ethdeploy||https://github.com/SilentCicero/ethdeploy||A complex deployment facility for Ethereum smart-contract development.||2016||50||30||3||344||31												
nogo10/EtherTest||https://github.com/nogo10/EtherTest||Solidity testing||2016||0||30||8||844||395												
chatch/solidity-hacks||https://github.com/chatch/solidity-hacks||Solidity hacks	 experiments and examples||2016||1||23||30||308||846											
spkdroid/Dapps-UBL-Template||https://github.com/spkdroid/Dapps-UBL-Template||Dapps UBL Template is a simple template created in solidity to port UBL document as Decentralized application||2016||0||7||4||841||326												
maraoz/solidity-experiments||https://github.com/maraoz/solidity-experiments||Solidity experiments||2016||29||10||6||381||152												
ledgerlabs/solidity-components||https://github.com/ledgerlabs/solidity-components||A collection of re-usable solidity contracts and components||2016||9||23||13||517||340												
duaraghav8/soltar||https://github.com/duaraghav8/soltar||Generate Solidity Code from its AST||2016||10||30||1||796||83												
duaraghav8/sol-explore||https://github.com/duaraghav8/sol-explore||Traversal functions for solidity-parser generated AST||2016||3||30||1||218||5												
jdetychey/Apprendre-Solidity||https://github.com/jdetychey/Apprendre-Solidity||Quelques contrats en franÃ§ais||2016||2||22||3||705||201												
giblfiz/solidity||https://github.com/giblfiz/solidity||This is a collection of public solidity contracts||2016||1||30||23||678||1373												
stochastic-thread/movieRatings-solidity||https://github.com/stochastic-thread/movieRatings-solidity||Solidity project||2016||0||1||1||831||9												
charlescrain/sample-solidity||https://github.com/charlescrain/sample-solidity||Sample Smart Contracts in Solidity to get started on Distributed Applications||2016||0||1||1||833||18												
OpenZeppelin/openzeppelin-solidity||https://github.com/OpenZeppelin/openzeppelin-solidity||OpenZeppelin is a library for secure smart contract development||2016||6300||30||30||27||1839												
dapphub/ds-auth||https://github.com/dapphub/ds-auth||Updatable	 unobtrusive Solidity authorization pattern||2016||51||30||2||181||145											
duaraghav8/solparse||https://github.com/duaraghav8/solparse||Solidity Parser for Solium||2016||19||30||1||199||557												
rupshabagchi/solidityAdventures||https://github.com/rupshabagchi/solidityAdventures||Small smart contracts based on Ethereum blockchain||2016||0||18||6||588||644												
zoernert/powerchain||https://github.com/zoernert/powerchain||Collection of Smart Contracts (Ethereum/Solidity) and Scripts for P2P Micro-Grid ||2016||2||6||1||823||487												
mpolci/SolidityAddressSet||https://github.com/mpolci/SolidityAddressSet||None||2016||0||2||2||824||97												
ThunderDeliverer/Ethereum||https://github.com/ThunderDeliverer/Ethereum||Ethereum and Solidity examples.||2016||0||30||9||411||1256												
dapphub/ds-exec||https://github.com/dapphub/ds-exec||Better exception handling||2016||5||30||2||181||171												
duaraghav8/Solium||https://github.com/duaraghav8/Solium||Linter to identify and fix style & security issues in Solidity||2016||587||30||30||35||543												
Ryanmtate/redux-solidity||https://github.com/Ryanmtate/redux-solidity||None||2016||7||30||7||585||698												
ethereumbook/ethereumbook||https://github.com/ethereumbook/ethereumbook||Mastering Ethereum	 by Andreas M. Antonopoulos	 Gavin Wood||2016||4782||30||30||27||1499										
dapphub/ds-group||https://github.com/dapphub/ds-group||Multisig with a command-line interface||2016||12||30||2||181||435												
etherandom/api||https://github.com/etherandom/api||Etherandom Solidity API||2016||2||1||1||818||116												
Sergeon/ethereum-truffle-solidity-ballot-contract||https://github.com/Sergeon/ethereum-truffle-solidity-ballot-contract||A truffle 1 demonstration of project around the Ballot.sol contract from the solidity docs.||2016||3||3||3||752||228												
ajlopez/SolidityCompiler||https://github.com/ajlopez/SolidityCompiler||Solidity Parser and Compiler	 WIP||2016||0||30||1||239||13											
nginnever/fileswarm-contracts||https://github.com/nginnever/fileswarm-contracts||solidity contract repo||2016||0||17||3||778||612												
duaraghav8/solmap||https://github.com/duaraghav8/solmap||create a JSON representation of Solidity's import hierarchy||2016||1||5||5||819||2												
James-Sangalli/learn-solidity-with-examples||https://github.com/James-Sangalli/learn-solidity-with-examples||A repo full of smart contracts written in Solidity||2016||68||30||19||35||1424												
bellaj/Ballot-Dapp||https://github.com/bellaj/Ballot-Dapp||DAPP sample using web3.js and solidity||2016||22||7||1||794||133												
dapphub/ds-token||https://github.com/dapphub/ds-token||A simple and sufficient ERC20 implementation||2016||53||30||5||181||719												
austin-millan/Solidity-Ballot||https://github.com/austin-millan/Solidity-Ballot||A voting system written in Solidity for deployment on the Ethereum blockchain||2016||2||8||1||804||134												
elementrem/solidity||https://github.com/elementrem/solidity||Elementrem Solidity Programming Language --- stable 0.4.18 ---||2016||0||24||30||363||4991												
extropyCoder/SolidityInlineAssembly||https://github.com/extropyCoder/SolidityInlineAssembly||None||2016||0||3||3||811||38												
pkafei/Example-Solidity-Contract||https://github.com/pkafei/Example-Solidity-Contract||A smart contract in the wild||2016||1||1||1||811||92												
craigwilliams84/EthereumLeague||https://github.com/craigwilliams84/EthereumLeague||A collection of ethereum smart contracts for managing a league||2016||0||30||10||411||761												
cjgdev/smart-contract-patterns||https://github.com/cjgdev/smart-contract-patterns||Smart-Contract Patterns written in Solidity	 collated for community good||2016||52||2||20||805||431											
NIC619/solPractice||https://github.com/NIC619/solPractice||solidity example practice||2016||9||30||25||99||2140												
bellaj/smart-contract||https://github.com/bellaj/smart-contract||couple of smart contracts written in solidity||2016||13||30||20||476||1925												
James-Sangalli/OpenRep||https://github.com/James-Sangalli/OpenRep||A solidity smart contract based reputation system with UI||2016||13||30||2||558||112												
dapphub/ds-roles||https://github.com/dapphub/ds-roles||A DSAuthority for up to 256 roles||2016||7||30||2||181||225												
dapphub/ds-guard||https://github.com/dapphub/ds-guard||Whitelist DSAuthority for use with DSAuth||2016||8||30||2||181||140												
nexusdev/solidity-quirks||https://github.com/nexusdev/solidity-quirks||None||2016||3||3||2||764||133												
blockchainhk/SolidityFunction||https://github.com/blockchainhk/SolidityFunction||None||2016||0||2||2||809||202												
blockchainhk/SolidityExercise||https://github.com/blockchainhk/SolidityExercise||Some exercises of Solidity||2016||0||2||6||809||1016												
brennanhm/solidity_w03||https://github.com/brennanhm/solidity_w03||Solidity Workshop #3||2016||1||2||4||804||120												
witwiki/solidity-experiments||https://github.com/witwiki/solidity-experiments||None||2016||0||5||5||805||124												
etienneburdet/dataTriTus||https://github.com/etienneburdet/dataTriTus||Solidity code for waste management token||2016||0||12||1||786||142												
johncoffee/ethereum-learnings||https://github.com/johncoffee/ethereum-learnings||just me playing around with solidity	 Mist and geth ||2016||1||30||1||729||181											
ConsenSys/truffle-webpack-demo||https://github.com/ConsenSys/truffle-webpack-demo||A demo Webpack + React App using truffle-solidity-loader||2016||90||30||3||265||58												
MrChico/verifyIPFS||https://github.com/MrChico/verifyIPFS||Solidity library for verifying IPFS hashes||2016||62||11||1||749||127												
loyyal/sol2swagger||https://github.com/loyyal/sol2swagger||Convert Solidity files and Interface ABI to Swagger specifications||2016||12||8||2||719||27												
dapphub/ds-vault||https://github.com/dapphub/ds-vault||DSAuth-protected ERC20 token vault||2016||12||30||3||181||163												
nginnever/SolidityIPFSverify||https://github.com/nginnever/SolidityIPFSverify||A solidity contract that protobuf encodes string content before sha256 hashing ||2016||1||3||1||797||37												
D-Nice/solidity-contract-rebalancer||https://github.com/D-Nice/solidity-contract-rebalancer||A contract to change your balance rounded to the nearest ether||2016||0||4||3||800||129												
masonforest/ethel||https://github.com/masonforest/ethel||A golang framework for building and deploying ethereum contracts written in solidity||2016||2||21||3||790||173												
joeb000/stack-depth-attack||https://github.com/joeb000/stack-depth-attack||Demo of a stack depth attack in solidity||2016||0||1||2||802||6												
jbaylina/ecsol||https://github.com/jbaylina/ecsol||Elliptic Curve Implementation in Solidity||2016||34||11||1||247||178												
